Bill_ID,Customer_ID,Billing_Month,Consumption_kWh,Bill_Amount,Paid_Status,Dispute_Flag,High_Bill_Flag
1,87,2025-08,205,51.25,Yes,No,No
2,826,2023-08,3525,881.25,No,No,Yes
3,674,2026-03,510,127.5,Yes,No,No
4,513,2023-10,205,51.25,Yes,No,No
5,846,2025-07,3525,881.25,No,No,Yes
6,781,2025-01,3525,881.25,No,Yes,Yes
7,838,2023-11,315,78.75,Yes,No,No
8,971,2025-05,1220,305,No,Yes,Yes
9,746,2025-06,1220,305,No,No,Yes
10,376,2023-11,1825,456.25,No,Yes,Yes
11,312,2025-05,315,78.75,Yes,No,No
12,714,2025-12,510,127.5,Yes,No,No
13,380,2025-07,315,78.75,Yes,No,No
14,179,2024-07,5025,1256.25,No,No,Yes
15,306,2025-06,2525,631.25,No,Yes,Yes
16,710,2026-01,920,230,Yes,Yes,No
17,49,2026-04,1220,305,No,Yes,Yes
18,493,2026-01,205,51.25,Yes,No,No
19,49,2025-04,420,105,Yes,No,No
20,237,2025-07,2525,631.25,No,Yes,Yes
21,638,2025-08,5025,1256.25,No,Yes,Yes
22,391,2023-06,205,51.25,Yes,No,No
23,425,2026-03,315,78.75,Yes,No,No
24,202,2024-09,3525,881.25,No,Yes,Yes
25,288,2023-10,5025,1256.25,No,Yes,Yes
26,623,2023-11,510,127.5,Yes,No,No
27,106,2025-11,725,181.25,Yes,No,No
28,527,2024-12,2525,631.25,No,Yes,Yes
29,337,2025-09,920,230,Yes,Yes,No
30,151,2025-03,1825,456.25,No,No,Yes
31,239,2023-07,1220,305,No,Yes,Yes
32,8,2025-08,725,181.25,Yes,No,No
33,599,2025-01,510,127.5,Yes,Yes,No
34,822,2025-05,725,181.25,Yes,No,No
35,684,2024-08,1220,305,No,Yes,Yes
36,482,2024-07,725,181.25,No,Yes,No
37,965,2025-11,510,127.5,No,Yes,No
38,703,2024-12,1220,305,No,No,Yes
39,659,2025-08,420,105,Yes,No,No
40,21,2026-01,205,51.25,Yes,No,No
41,322,2023-05,2525,631.25,No,Yes,Yes
42,752,2024-12,315,78.75,Yes,No,No
43,902,2023-09,2525,631.25,No,Yes,Yes
44,317,2025-10,1220,305,No,Yes,Yes
45,536,2025-09,1825,456.25,No,No,Yes
46,104,2025-05,1825,456.25,No,Yes,Yes
47,287,2025-03,1825,456.25,No,No,Yes
48,778,2025-02,510,127.5,Yes,No,No
49,461,2024-10,5025,1256.25,No,No,Yes
50,465,2024-10,315,78.75,Yes,No,No
51,608,2023-07,1220,305,No,Yes,Yes
52,527,2024-12,3525,881.25,No,Yes,Yes
53,860,2024-09,2525,631.25,No,Yes,Yes
54,590,2025-02,5025,1256.25,No,No,Yes
55,750,2024-11,1220,305,No,Yes,Yes
56,747,2023-06,725,181.25,Yes,No,No
57,703,2024-03,1825,456.25,No,Yes,Yes
58,862,2024-02,420,105,Yes,No,No
59,687,2025-11,1825,456.25,No,No,Yes
60,115,2025-08,920,230,No,Yes,No
61,393,2024-07,5025,1256.25,No,Yes,Yes
62,102,2024-11,725,181.25,Yes,No,No
63,610,2023-08,420,105,Yes,No,No
64,681,2023-11,1825,456.25,No,Yes,Yes
65,582,2023-05,920,230,Yes,No,No
66,720,2024-09,1220,305,No,Yes,Yes
67,356,2026-02,1220,305,No,No,Yes
68,77,2024-12,2525,631.25,No,Yes,Yes
69,931,2024-04,5025,1256.25,No,Yes,Yes
70,351,2024-01,315,78.75,Yes,No,No
71,999,2023-05,2525,631.25,No,Yes,Yes
72,547,2023-07,1220,305,No,Yes,Yes
73,520,2024-06,510,127.5,No,Yes,No
74,856,2025-08,510,127.5,Yes,No,No
75,464,2025-02,2525,631.25,No,Yes,Yes
76,21,2023-04,510,127.5,Yes,No,No
