Campaign_ID,Customer_ID,Campaign_Type,Opened,Clicked,Positive_Response,Campaign_Date,Engagement_Level,Conversion_Type
1,69,Email,Yes,No,No,01-05-2025,Low,None
2,509,SMS,Yes,No,No,01-02-2025,Low,None
3,43,SMS,Yes,No,No,01-07-2025,Low,None
4,209,Email,No,No,No,01-05-2025,None,None
5,420,Email,No,No,No,01-12-2025,None,None
6,594,SMS,No,No,No,01-02-2025,None,None
7,931,SMS,Yes,No,No,01-05-2025,Low,None
8,772,SMS,Yes,No,No,01-09-2025,Low,None
9,56,SMS,No,No,No,01-09-2025,None,None
10,409,Email,Yes,Yes,No,01-03-2025,Medium,None
11,291,Email,No,No,No,01-02-2025,None,None
12,45,Email,No,No,No,01-06-2025,None,None
13,315,SMS,Yes,No,No,01-02-2025,Low,None
14,691,SMS,Yes,No,No,01-03-2025,Low,None
15,424,Email,Yes,Yes,Yes,01-02-2025,High,Solar_Interest
16,686,Email,No,No,No,01-07-2025,None,None
17,623,SMS,No,No,No,01-03-2025,None,None
18,39,Email,No,No,No,01-08-2025,None,None
19,134,Email,Yes,No,No,01-01-2025,Low,None
20,958,SMS,No,No,No,01-04-2025,None,None
21,95,SMS,Yes,No,No,01-09-2025,Low,None
22,652,SMS,Yes,No,No,01-03-2025,Low,None
23,702,SMS,Yes,No,No,01-01-2025,Low,None
24,695,Email,No,No,No,01-07-2025,None,None
25,405,Email,Yes,No,No,01-11-2025,Low,None
26,471,Email,Yes,Yes,No,01-10-2025,Medium,None
27,943,Email,Yes,No,No,01-11-2025,Low,None
28,202,SMS,Yes,No,No,01-09-2025,Low,None
29,59,Email,Yes,No,No,01-08-2025,Low,None
30,750,SMS,No,No,No,01-12-2025,None,None
31,663,SMS,No,No,No,01-06-2025,None,None
32,707,Email,Yes,Yes,Yes,01-10-2025,High,Solar_Interest
33,467,SMS,No,No,No,01-10-2025,None,None
34,977,SMS,Yes,No,No,01-06-2025,Low,None
35,541,SMS,Yes,No,No,01-10-2025,Low,None
36,274,SMS,No,No,No,01-07-2025,None,None
37,398,SMS,Yes,No,No,01-12-2025,Low,None
38,206,Email,No,No,No,01-07-2025,None,None
39,992,Email,Yes,Yes,No,01-06-2025,Medium,None
40,96,SMS,No,No,No,01-08-2025,None,None
41,837,Email,No,No,No,01-02-2025,None,None
42,108,SMS,Yes,No,No,01-03-2025,Low,None
43,530,SMS,Yes,Yes,No,01-09-2025,Medium,None
44,270,Email,No,No,No,01-09-2025,None,None
45,586,Email,Yes,No,No,01-07-2025,Low,None
46,177,SMS,Yes,Yes,No,01-02-2025,Medium,None
47,57,Email,Yes,Yes,Yes,01-05-2025,High,Solar_Interest
48,317,SMS,No,No,No,01-07-2025,None,None
49,711,Email,Yes,No,No,01-05-2025,Low,None
50,746,Email,No,No,No,01-01-2025,None,None
51,578,Email,Yes,No,No,01-05-2025,Low,None
52,533,SMS,Yes,Yes,No,01-07-2025,Medium,None
53,466,Email,No,No,No,01-08-2025,None,None
54,401,SMS,Yes,Yes,No,01-02-2025,Medium,None
55,381,SMS,Yes,No,No,01-09-2025,Low,None
56,910,SMS,Yes,Yes,No,01-09-2025,Medium,None
57,540,SMS,No,No,No,01-10-2025,None,None
58,36,SMS,No,No,No,01-07-2025,None,None
59,806,Email,Yes,No,No,01-05-2025,Low,None
60,836,Email,Yes,No,No,01-07-2025,Low,None
61,566,SMS,Yes,Yes,No,01-07-2025,Medium,None
62,321,Email,No,No,No,01-02-2025,None,None
63,106,SMS,No,No,No,01-03-2025,None,None
64,269,Email,Yes,No,No,01-09-2025,Low,None
65,921,Email,Yes,Yes,No,01-06-2025,Medium,None
66,369,SMS,Yes,No,No,01-04-2025,Low,None
67,432,Email,Yes,No,No,01-03-2025,Low,None
68,980,SMS,No,No,No,01-03-2025,None,None
69,793,Email,Yes,Yes,No,01-07-2025,Medium,None
70,644,SMS,Yes,Yes,No,01-11-2025,Medium,None
71,654,SMS,Yes,No,No,01-04-2025,Low,None
72,227,SMS,No,No,No,01-01-2025,None,None
73,770,SMS,No,No,No,01-03-2025,None,None
74,147,SMS,No,No,No,01-11-2025,None,None
75,891,SMS,Yes,Yes,Yes,01-08-2025,High,Smart_Meter
76,478,SMS,No,No,No,01-08-2025,None,None
77,958,Email,No,No,No,01-05-2025,None,None
78,786,Email,No,No,No,01-06-2025,None,None
79,298,SMS,No,No,No,01-12-2025,None,None
80,590,Email,No,No,No,01-02-2025,None,None
81,23,SMS,No,No,No,01-12-2025,None,None
82,260,SMS,Yes,No,No,01-02-2025,Low,None
83,155,SMS,Yes,Yes,No,01-09-2025,Medium,None
84,552,Email,Yes,No,No,01-06-2025,Low,None
85,243,Email,No,No,No,01-09-2025,None,None
86,866,SMS,No,No,No,01-11-2025,None,None
87,809,Email,Yes,No,No,01-03-2025,Low,None
88,100,SMS,Yes,No,No,01-03-2025,Low,None
89,876,Email,Yes,No,No,01-10-2025,Low,None
90,225,Email,No,No,No,01-05-2025,None,None
91,380,SMS,No,No,No,01-11-2025,None,None
92,565,SMS,No,No,No,01-06-2025,None,None
93,418,SMS,No,No,No,01-11-2025,None,None
94,732,SMS,Yes,Yes,No,01-04-2025,Medium,None
95,72,SMS,Yes,No,No,01-05-2025,Low,None
96,4,Email,No,No,No,01-11-2025,None,None
97,431,SMS,Yes,No,No,01-03-2025,Low,None
98,72,Email,Yes,No,No,01-05-2025,Low,None
99,218,SMS,Yes,No,No,01-03-2025,Low,None
100,676,Email,Yes,Yes,No,01-05-2025,Medium,None
101,632,SMS,No,No,No,01-11-2025,None,None
102,393,Email,No,No,No,01-05-2025,None,None
103,483,Email,No,No,No,01-07-2025,None,None
104,681,SMS,Yes,No,No,01-08-2025,Low,None
105,179,Email,Yes,No,No,01-04-2025,Low,None
106,181,Email,Yes,No,No,01-12-2025,Low,None
107,483,SMS,Yes,No,No,01-02-2025,Low,None
108,524,Email,Yes,No,No,01-10-2025,Low,None
109,597,Email,No,No,No,01-08-2025,None,None
110,212,SMS,No,No,No,01-10-2025,None,None
111,282,SMS,Yes,No,No,01-05-2025,Low,None
112,434,SMS,No,No,No,01-11-2025,None,None
113,790,SMS,Yes,No,No,01-05-2025,Low,None
114,79,SMS,No,No,No,01-10-2025,None,None
115,110,Email,Yes,No,No,01-01-2025,Low,None
116,540,Email,Yes,No,No,01-05-2025,Low,None
117,310,Email,Yes,Yes,No,01-09-2025,Medium,None
118,918,SMS,Yes,Yes,Yes,01-02-2025,High,Smart_Meter
119,34,SMS,No,No,No,01-12-2025,None,None
120,794,SMS,Yes,No,No,01-10-2025,Low,None
121,310,SMS,No,No,No,01-10-2025,None,None
122,15,SMS,Yes,Yes,Yes,01-08-2025,High,Smart_Meter
123,13,SMS,No,No,No,01-07-2025,None,None
124,448,Email,No,No,No,01-05-2025,None,None
125,676,SMS,No,No,No,01-07-2025,None,None
126,892,SMS,Yes,Yes,No,01-08-2025,Medium,None
127,338,Email,No,No,No,01-08-2025,None,None
128,215,Email,Yes,No,No,01-06-2025,Low,None
129,397,Email,No,No,No,01-03-2025,None,None
130,444,Email,Yes,Yes,No,01-03-2025,Medium,None
131,76,Email,Yes,No,No,01-06-2025,Low,None
132,343,SMS,Yes,No,No,01-07-2025,Low,None
133,770,SMS,No,No,No,01-08-2025,None,None
134,572,Email,Yes,Yes,No,01-04-2025,Medium,None
135,993,Email,No,No,No,01-08-2025,None,None
136,516,Email,Yes,No,No,01-01-2025,Low,None
137,223,SMS,No,No,No,01-07-2025,None,None
138,854,SMS,Yes,No,No,01-09-2025,Low,None
139,349,SMS,Yes,No,No,01-11-2025,Low,None
140,689,SMS,No,No,No,01-03-2025,None,None
141,368,SMS,No,No,No,01-07-2025,None,None
142,784,Email,No,No,No,01-02-2025,None,None
143,784,Email,Yes,Yes,Yes,01-11-2025,High,Solar_Interest
144,732,SMS,Yes,Yes,No,01-09-2025,Medium,None
145,934,Email,No,No,No,01-07-2025,None,None
146,70,Email,No,No,No,01-04-2025,None,None
147,332,SMS,No,No,No,01-02-2025,None,None
