Production_ID,Partner_ID,Production_Month,Energy_Generated_kWh,Energy_Utilization_Percentage,Energy_Used_kWh,Energy_Supplied_kWh,Performance_Status,Month_Name,Month_Number,Year,Season_factor,Expected_Seasonal_Output
1,1,01-01-2025,573,76,435,237,Low,Jan,1,2025,0.6,600
2,1,01-02-2025,735,71,522,304,High,Feb,2,2025,0.7,700
3,1,01-03-2025,837,62,519,404,High,Mar,3,2025,0.8,800
4,1,01-04-2025,897,90,807,93,Normal,Apr,4,2025,0.9,900
5,1,01-05-2025,1023,87,890,137,Normal,May,5,2025,1,1000
6,1,01-06-2025,1146,64,733,329,High,Jun,6,2025,1.1,1100
7,1,01-07-2025,1234,80,987,213,Normal,Jul,7,2025,1.2,1200
8,1,01-08-2025,1076,66,710,315,Normal,Aug,8,2025,1.1,1100
9,1,01-09-2025,1036,89,922,113,High,Sep,9,2025,1,1000
10,1,01-10-2025,902,66,595,348,Normal,Oct,10,2025,0.9,900
11,1,01-11-2025,678,80,542,189,Low,Nov,11,2025,0.7,700
12,1,01-12-2025,592,73,432,292,Normal,Dec,12,2025,0.6,600
13,2,01-01-2025,305,62,189,189,Normal,Jan,1,2025,0.6,300
14,2,01-02-2025,360,88,317,64,Normal,Feb,2,2025,0.7,350
15,2,01-03-2025,414,90,373,51,High,Mar,3,2025,0.8,400
16,2,01-04-2025,441,76,335,114,Normal,Apr,4,2025,0.9,450
17,2,01-05-2025,524,68,356,170,High,May,5,2025,1,500
18,2,01-06-2025,538,65,350,191,Normal,Jun,6,2025,1.1,550
19,2,01-07-2025,585,90,527,46,Normal,Jul,7,2025,1.2,600
20,2,01-08-2025,573,86,493,66,High,Aug,8,2025,1.1,550
21,2,01-09-2025,483,87,420,63,Low,Sep,9,2025,1,500
22,2,01-10-2025,444,87,386,70,Normal,Oct,10,2025,0.9,450
23,2,01-11-2025,359,87,312,65,Normal,Nov,11,2025,0.7,350
24,2,01-12-2025,302,67,202,162,Normal,Dec,12,2025,0.6,300
25,3,01-01-2025,770,87,670,181,Normal,Jan,1,2025,0.6,780
26,3,01-02-2025,942,76,716,326,High,Feb,2,2025,0.7,910
27,3,01-03-2025,1064,84,894,219,Normal,Mar,3,2025,0.8,1040
28,3,01-04-2025,1120,65,728,426,Low,Apr,4,2025,0.9,1170
29,3,01-05-2025,1362,84,1144,214,High,May,5,2025,1,1300
30,3,01-06-2025,1450,66,957,420,Normal,Jun,6,2025,1.1,1430
31,3,01-07-2025,1554,64,995,466,Normal,Jul,7,2025,1.2,1560
32,3,01-08-2025,1497,67,1003,415,High,Aug,8,2025,1.1,1430
33,3,01-09-2025,1283,76,975,336,Normal,Sep,9,2025,1,1300
34,3,01-10-2025,1115,64,714,456,Low,Oct,10,2025,0.9,1170
35,3,01-11-2025,938,88,825,169,High,Nov,11,2025,0.7,910
36,3,01-12-2025,776,80,621,241,Normal,Dec,12,2025,0.6,780
37,4,01-01-2025,616,62,382,378,Normal,Jan,1,2025,0.6,600
38,4,01-02-2025,671,78,523,209,Low,Feb,2,2025,0.7,700
39,4,01-03-2025,806,71,572,265,Normal,Mar,3,2025,0.8,800
