Ticket_ID,Customer_ID,Issue_Type,Priority,Status,Created_Date,Closed_Date,Resolution_Time_Days,Escalated_Flag,Ticket_Channel
1,502,Service Outage,Low,Closed,21-11-2025,22-11-2025,1,No,Email
2,123,Meter Problem,Medium,Closed,07-10-2026,11-10-2026,4,Yes,Phone
3,864,Billing Issue,Low,Open,03-08-2023,,,Yes,Email
4,711,General Query,High,Closed,15-07-2024,20-07-2024,5,Yes,Web Form
5,431,Billing Issue,Medium,Closed,02-04-2025,05-04-2025,3,No,Web Form
6,180,General Query,Low,Closed,20-08-2025,24-08-2025,4,Yes,Web Form
7,502,Service Outage,Medium,Closed,02-03-2026,03-03-2026,1,No,Email
8,423,General Query,High,Closed,12-08-2023,16-08-2023,4,Yes,Email
9,325,General Query,Low,Closed,07-02-2023,10-02-2023,3,No,Web Form
10,589,General Query,High,Open,28-02-2024,,,Yes,Email
11,937,Billing Issue,Medium,Closed,10-04-2026,13-04-2026,3,No,Email
12,835,Service Outage,High,Open,21-07-2026,,,Yes,Web Form
13,580,General Query,Medium,Closed,06-04-2023,09-04-2023,3,No,Web Form
14,477,Meter Problem,Medium,Closed,11-01-2023,13-01-2023,2,No,Email
15,375,Meter Problem,High,Closed,21-10-2026,23-10-2026,2,Yes,Email
16,548,General Query,Medium,Open,15-01-2025,,,Yes,Email
17,178,Billing Issue,High,Closed,21-08-2025,22-08-2025,1,Yes,Email
18,66,Service Outage,High,Open,06-03-2025,,,Yes,Email
19,240,Meter Problem,Low,Closed,04-06-2024,05-06-2024,1,No,Email
20,240,Billing Issue,Low,Closed,12-02-2025,13-02-2025,1,No,Phone
21,590,Service Outage,Medium,Closed,16-05-2026,18-05-2026,2,No,Phone
22,917,Payment Issue,High,Open,08-02-2025,,,Yes,Phone
23,345,Payment Issue,Medium,Closed,07-12-2023,11-12-2023,4,Yes,Web Form
24,881,Payment Issue,High,Open,24-01-2024,,,Yes,Web Form
25,209,Service Outage,Medium,Closed,03-04-2023,07-04-2023,4,Yes,Email
26,859,Service Outage,High,Closed,12-10-2024,15-10-2024,3,Yes,Email
27,241,Billing Issue,High,Open,16-07-2025,,,Yes,Email
28,347,Billing Issue,Medium,Closed,15-06-2026,19-06-2026,4,Yes,Phone
29,102,General Query,High,Open,02-03-2025,,,Yes,Phone
30,108,Meter Problem,Medium,Closed,12-02-2024,16-02-2024,4,Yes,Phone
31,463,Meter Problem,High,Closed,06-01-2026,10-01-2026,4,Yes,Web Form
32,917,Service Outage,Medium,Open,17-02-2024,,,Yes,Email
33,807,Billing Issue,Medium,Closed,20-06-2025,23-06-2025,3,No,Email
34,44,Payment Issue,Medium,Closed,13-09-2023,17-09-2023,4,Yes,Email
35,106,Payment Issue,Low,Open,07-03-2026,,,Yes,Email
36,372,General Query,Low,Open,22-11-2023,,,Yes,Phone
37,17,Meter Problem,Low,Open,21-12-2025,,,Yes,Web Form
38,17,Payment Issue,Low,Closed,21-02-2026,24-02-2026,3,No,Phone
39,366,Payment Issue,Medium,Open,27-04-2025,,,Yes,Web Form
40,732,General Query,Low,Closed,17-06-2023,21-06-2023,4,Yes,Email
41,670,Meter Problem,High,Open,07-01-2023,,,Yes,Email
42,29,Billing Issue,High,Open,17-07-2024,,,Yes,Email
43,952,Service Outage,Medium,Closed,07-03-2023,09-03-2023,2,No,Email
44,256,Payment Issue,Low,Closed,13-03-2024,15-03-2024,2,No,Email
45,824,Meter Problem,High,Closed,08-02-2025,13-02-2025,5,Yes,Phone
46,815,Billing Issue,Low,Closed,25-10-2026,30-10-2026,5,Yes,Email
47,9,Payment Issue,Medium,Closed,05-07-2024,09-07-2024,4,Yes,Phone
48,672,Payment Issue,Medium,Open,17-07-2023,,,Yes,Web Form
49,587,Payment Issue,Low,Open,23-09-2026,,,No,Phone
50,202,General Query,High,Closed,15-02-2023,16-02-2023,1,Yes,Phone
51,374,Billing Issue,High,Open,03-05-2024,,,Yes,Web Form
52,324,Service Outage,Low,Closed,02-10-2026,07-10-2026,5,Yes,Web Form
53,556,Billing Issue,Low,Closed,26-04-2025,29-04-2025,3,No,Email
54,208,Billing Issue,Medium,Open,12-06-2024,,,Yes,Email
55,553,Billing Issue,Medium,Closed,11-09-2023,12-09-2023,1,No,Phone
56,334,Service Outage,High,Closed,10-12-2026,12-12-2026,2,Yes,Phone
57,230,Service Outage,High,Closed,28-10-2024,30-10-2024,2,Yes,Email
58,260,Service Outage,Low,Open,28-02-2023,,,Yes,Email
59,7,Billing Issue,Low,Open,01-02-2026,,,Yes,Web Form
60,900,Service Outage,Low,Open,16-02-2026,,,Yes,Email
61,703,Service Outage,Medium,Closed,21-02-2023,22-02-2023,1,No,Email
62,801,General Query,Low,Open,12-10-2024,,,Yes,Email
63,928,Meter Problem,Medium,Open,22-09-2026,,,No,Email
64,957,Service Outage,Low,Open,16-09-2024,,,Yes,Email
65,274,Payment Issue,Medium,Closed,25-02-2024,27-02-2024,2,No,Phone
66,751,Service Outage,Medium,Closed,24-09-2025,28-09-2025,4,Yes,Phone
67,402,Meter Problem,Low,Closed,13-02-2026,17-02-2026,4,Yes,Phone
68,426,Meter Problem,High,Open,02-06-2023,,,Yes,Web Form
69,565,Billing Issue,Low,Open,04-09-2026,,,No,Email
70,550,Payment Issue,Medium,Closed,06-03-2023,09-03-2023,3,No,Email
71,522,Service Outage,High,Open,06-10-2024,,,Yes,Phone
72,818,General Query,High,Closed,17-12-2025,18-12-2025,1,Yes,Phone
73,892,Billing Issue,Medium,Open,18-03-2024,,,Yes,Phone
74,721,Payment Issue,High,Open,19-02-2024,,,Yes,Email
